Name,Link,Topic,date pub
4 Simple Steps to Make Your Home Come to Life for Under $10,https://codeburst.io/4-simple-steps-to-make-your-home-come-to-life-for-under-10-585bb50d3f3,"electronics, programming","August 14, 2020"
This New Startup Is Designed to Take Down AWS and DevOps Jobs,https://medium.com/towards-artificial-intelligence/we-have-a-new-contender-in-the-cloud-market-and-its-made-to-take-down-aws-d379c0c211c5,tech,"August 13, 2020"
Use Your Money More Efficiently With the Latte Factor,https://medium.com/datadriveninvestor/use-your-money-more-efficiently-with-the-latte-factor-96bd6aff933c?source=your_stories_page---------------------------,money,"August 6, 2020"
A Startup That Paid $1 Billion to Creators,https://medium.com/datadriveninvestor/a-startup-that-pays-more-than-1-billion-to-creators-e830685b09ec,tech,"August 1, 2020"
Bonanza! Now You Can Integrate AI on Your Website,https://codeburst.io/bonanza-now-you-can-integrate-ai-on-your-website-34958f28a868,programming,"July 29, 2020"
Universal Basic Income Is Just a Camouflage,https://medium.com/illumination/universal-basic-income-is-just-a-camouflage-b884f9fd4015,"future, money","July 24, 2020"
How to gain most out of your books,https://medium.com/illumination/how-to-gain-most-out-of-your-books-7555fd0bf54b,"life, productivity","July 22, 2020"
Centralized and Decentralized Systems Finally Get ‘Chained’,https://levelup.gitconnected.com/centralized-and-decentralized-systems-finally-get-chained-ba702dea972,crypto,"July 20, 2020"
"Biggest Crypto Scam in History, Worth $15 Billion",https://levelup.gitconnected.com/biggest-crypto-scam-in-history-worth-15-billion-381e97cf2c0f,crypto,"July 16, 2020"
Ultimate Showdown of Machine Learning Algorithms,https://towardsdatascience.com/ultimate-showdown-of-machine-learning-algorithms-af68fbb90b06,"AI, programming","July 9, 2020"
Education system in 2020 is doomed,https://medium.com/@shubhpatni/education-system-in-2020-is-doomed-ae932e4b9d68,future,"July 8, 2020"
Amazon’s New Service Can Create Apps Without Code,https://levelup.gitconnected.com/amazons-new-service-can-create-apps-without-code-3bbc9a58223d,tech,"July 5, 2020"
